entity,gec,iso_3166,stanag_code,internet_code,comment
{"name":"Afghanistan","path":"/countries/afghanistan/"},"AF","AF | AFG | 004","AFG",".af",""
{"name":"Akrotiri","path":"/countries/akrotiri/"},"AX","- | - | -","-","-",""
{"name":"Albania","path":"/countries/albania/"},"AL","AL | ALB | 008","ALB",".al",""
{"name":"Algeria","path":"/countries/algeria/"},"AG","DZ | DZA | 012","DZA",".dz",""
{"name":"American Samoa","path":"/countries/american-samoa/"},"AQ","AS | ASM | 016","ASM",".as",""
{"name":"Andorra","path":"/countries/andorra/"},"AN","AD | AND | 020","AND",".ad",""
{"name":"Angola","path":"/countries/angola/"},"AO","AO | AGO | 024","AGO",".ao",""
{"name":"Anguilla","path":"/countries/anguilla/"},"AV","AI | AIA | 660","AIA",".ai",""
{"name":"Antarctica","path":"/countries/antarctica/"},"AY","AQ | ATA | 010","ATA",".aq","ISO defines as the territory south of 60 degrees south latitude"
{"name":"Antigua and Barbuda","path":"/countries/antigua-and-barbuda/"},"AC","AG | ATG | 028","ATG",".ag",""
{"name":"Argentina","path":"/countries/argentina/"},"AR","AR | ARG | 032","ARG",".ar",""
{"name":"Armenia","path":"/countries/armenia/"},"AM","AM | ARM | 051","ARM",".am",""
{"name":"Aruba","path":"/countries/aruba/"},"AA","AW | ABW | 533","ABW",".aw",""
{"name":"Ashmore and Cartier Islands","path":"/countries/ashmore-and-cartier-islands/"},"AT","- | - | -","AUS","-","ISO includes with Australia"
{"name":"Australia","path":"/countries/australia/"},"AS","AU | AUS | 036","AUS",".au","ISO includes Ashmore and Cartier Islands, Coral Sea Islands"
{"name":"Austria","path":"/countries/austria/"},"AU","AT | AUT | 040","AUT",".at",""
{"name":"Azerbaijan","path":"/countries/azerbaijan/"},"AJ","AZ | AZE | 031","AZE",".az",""